Year,Attribute,Value
1990,Intermediate inputs: Fertilizer and lime,0.741875772
1990,Intermediate inputs: Pesticides,0.53242924
1990,Intermediate inputs: Purchased services,0.783201293
1990,Intermediate inputs: Other intermediate inputs,0.701031291
1990,Total factor productivity (TFP),0.73293848
1991,Total agricultural output,0.707627725
1991,Livestock and products output: Total,0.754035753
1991,Livestock and products output: Meat animals,0.881523244
1991,Livestock and products output: Dairy,0.702157698
1991,Livestock and products output: Poultry and eggs,0.588577478
1991,Crops output: Total,0.712150604
1991,Crops output: Food grains,0.91122716
1991,Crops output: Feed crops,0.701157993
1991,Crops output: Oil crops,0.54428688
1991,Crops output: Vegetables and melons,1.002948865
1991,Crops output: Fruits and nuts,0.683761989
1991,Crops output: Other crops,0.827859016
1991,Farm-related output,0.531049345
1991,Farm inputs: Total ,0.960338117
1991,Capital inputs: Total,1.054819079
1991,Capital inputs: Durable equipment,0.808179934
1991,Capital inputs: Service buildings,1.488136433
1991,Capital inputs: Land,1.062899362
1991,Capital inputs: Inventories,1.11620393
1991,Labor inputs: Total,1.221188608
1991,Labor inputs: Hired labor,1.194250125
1991,Labor inputs: Self-employed and unpaid family workers,1.234895158
1991,Intermediate inputs: Total,0.816225194
1991,Intermediate inputs: Feed and seed,0.801219903
1991,Intermediate inputs: Energy,1.572347318
1991,Intermediate inputs: Fertilizer and lime,0.700066384
1991,Intermediate inputs: Pesticides,0.496887408
1991,Intermediate inputs: Purchased services,0.796976423
1991,Intermediate inputs: Other intermediate inputs,0.756652163
1991,Total factor productivity (TFP),0.73685269
1992,Total agricultural output,0.74879084
1992,Livestock and products output: Total,0.7729054
1992,Livestock and products output: Meat animals,0.901057177
1992,Livestock and products output: Dairy,0.7177309
1992,Livestock and products output: Poultry and eggs,0.613535561
1992,Crops output: Total,0.780883814
1992,Crops output: Food grains,1.117919812
1992,Crops output: Feed crops,0.813901398
1992,Crops output: Oil crops,0.577215894
1992,Crops output: Vegetables and melons,1.045150809
1992,Crops output: Fruits and nuts,0.714142407
1992,Crops output: Other crops,0.83817667
1992,Farm-related output,0.495094855
1992,Farm inputs: Total ,0.944517227
1992,Capital inputs: Total,1.04090581
1992,Capital inputs: Durable equipment,0.781898995
1992,Capital inputs: Service buildings,1.454625047
1992,Capital inputs: Land,1.060182269
1992,Capital inputs: Inventories,1.114740517
1992,Labor inputs: Total,1.1899448
1992,Labor inputs: Hired labor,1.130002462
1992,Labor inputs: Self-employed and unpaid family workers,1.22462467
1992,Intermediate inputs: Total,0.803841441
1992,Intermediate inputs: Feed and seed,0.79642992
1992,Intermediate inputs: Energy,1.55206148
1992,Intermediate inputs: Fertilizer and lime,0.719075524
1992,Intermediate inputs: Pesticides,0.513680955
1992,Intermediate inputs: Purchased services,0.766504899
1992,Intermediate inputs: Other intermediate inputs,0.656480372
1992,Total factor productivity (TFP),0.792776265
1993,Total agricultural output,0.712545148
1993,Livestock and products output: Total,0.779932892
1993,Livestock and products output: Meat animals,0.899605447
1993,Livestock and products output: Dairy,0.717422519
1993,Livestock and products output: Poultry and eggs,0.640788617
1993,Crops output: Total,0.703966285
1993,Crops output: Food grains,1.068470364
1993,Crops output: Feed crops,0.628299182
1993,Crops output: Oil crops,0.495841429
1993,Crops output: Vegetables and melons,1.08342238
1993,Crops output: Fruits and nuts,0.767762515
1993,Crops output: Other crops,0.827671971
1993,Farm-related output,0.527002038
1993,Farm inputs: Total ,0.954323925
1993,Capital inputs: Total,1.030459925
1993,Capital inputs: Durable equipment,0.752751086
1993,Capital inputs: Service buildings,1.418046198
1993,Capital inputs: Land,1.061533834
1993,Capital inputs: Inventories,1.16462935
1993,Labor inputs: Total,1.140621839
1993,Labor inputs: Hired labor,1.124593846
1993,Labor inputs: Self-employed and unpaid family workers,1.147193759
1993,Intermediate inputs: Total,0.839594026
1993,Intermediate inputs: Feed and seed,0.814513563
1993,Intermediate inputs: Energy,1.558858695
1993,Intermediate inputs: Fertilizer and lime,0.713290491
1993,Intermediate inputs: Pesticides,0.506980799
1993,Intermediate inputs: Purchased services,0.856059164
1993,Intermediate inputs: Other intermediate inputs,0.695963493
1993,Total factor productivity (TFP),0.74664915
1994,Total agricultural output,0.795966853
1994,Livestock and products output: Total,0.822531442
1994,Livestock and products output: Meat animals,0.968415263
1994,Livestock and products output: Dairy,0.73213322
1994,Livestock and products output: Poultry and eggs,0.671541125
1994,Crops output: Total,0.831963527
1994,Crops output: Food grains,1.077146008
1994,Crops output: Feed crops,0.828696163
1994,Crops output: Oil crops,0.665770362
1994,Crops output: Vegetables and melons,1.196939853
1994,Crops output: Fruits and nuts,0.798192115
1994,Crops output: Other crops,0.895917586
1994,Farm-related output,0.507511793
1994,Farm inputs: Total ,0.99593355
1994,Capital inputs: Total,1.016798316
1994,Capital inputs: Durable equipment,0.728247768
1994,Capital inputs: Service buildings,1.385017553
1994,Capital inputs: Land,1.065518402
1994,Capital inputs: Inventories,1.113357793
1994,Labor inputs: Total,1.314857852
1994,Labor inputs: Hired labor,1.095321213
1994,Labor inputs: Self-employed and unpaid family workers,1.45134734
1994,Intermediate inputs: Total,0.870449579
1994,Intermediate inputs: Feed and seed,0.826515204
1994,Intermediate inputs: Energy,1.601250509
1994,Intermediate inputs: Fertilizer and lime,0.723831788
1994,Intermediate inputs: Pesticides,0.591997574
1994,Intermediate inputs: Purchased services,0.887276841
1994,Intermediate inputs: Other intermediate inputs,0.79643009
1994,Total factor productivity (TFP),0.799216829
1995,Total agricultural output,0.754553145
1995,Livestock and products output: Total,0.838202142
1995,Livestock and products output: Meat animals,0.976273073
1995,Livestock and products output: Dairy,0.740772685
1995,Livestock and products output: Poultry and eggs,0.696764405
1995,Crops output: Total,0.739274903
1995,Crops output: Food grains,1.001074453
1995,Crops output: Feed crops,0.679102852
1995,Crops output: Oil crops,0.575624995
1995,Crops output: Vegetables and melons,1.133928544
1995,Crops output: Fruits and nuts,0.742737597
1995,Crops output: Other crops,0.858764883
1995,Farm-related output,0.568541397
1995,Farm inputs: Total ,1.007148993
1995,Capital inputs: Total,1.011972774
1995,Capital inputs: Durable equipment,0.706478434
1995,Capital inputs: Service buildings,1.351968492
1995,Capital inputs: Land,1.07031932
1995,Capital inputs: Inventories,1.201199896
1995,Labor inputs: Total,1.321454645
1995,Labor inputs: Hired labor,1.134652258
1995,Labor inputs: Self-employed and unpaid family workers,1.437077238
1995,Intermediate inputs: Total,0.889441884
1995,Intermediate inputs: Feed and seed,0.86113391
1995,Intermediate inputs: Energy,1.679729231
1995,Intermediate inputs: Fertilizer and lime,0.574324179
1995,Intermediate inputs: Pesticides,0.635598689
1995,Intermediate inputs: Purchased services,0.92549765
1995,Intermediate inputs: Other intermediate inputs,0.870399846
1995,Total factor productivity (TFP),0.74919714
1996,Total agricultural output,0.79066971
1996,Livestock and products output: Total,0.834647491
1996,Livestock and products output: Meat animals,0.938765433
1996,Livestock and products output: Dairy,0.734961645
1996,Livestock and products output: Poultry and eggs,0.738528217
1996,Crops output: Total,0.802736611
1996,Crops output: Food grains,1.03594443
1996,Crops output: Feed crops,0.79421194
1996,Crops output: Oil crops,0.621967961
1996,Crops output: Vegetables and melons,1.172498034
1996,Crops output: Fruits and nuts,0.745098492
1996,Crops output: Other crops,0.898142446
1996,Farm-related output,0.577459572
1996,Farm inputs: Total ,0.945625944
1996,Capital inputs: Total,0.999148468
1996,Capital inputs: Durable equipment,0.685460965
1996,Capital inputs: Service buildings,1.321029687
1996,Capital inputs: Land,1.074386867
1996,Capital inputs: Inventories,1.149890185
1996,Labor inputs: Total,1.223547958
1996,Labor inputs: Hired labor,1.083604361
1996,Labor inputs: Self-employed and unpaid family workers,1.309572753
1996,Intermediate inputs: Total,0.81933672
1996,Intermediate inputs: Feed and seed,0.778088281
1996,Intermediate inputs: Energy,1.680285852
1996,Intermediate inputs: Fertilizer and lime,0.599625543
1996,Intermediate inputs: Pesticides,0.402580236
1996,Intermediate inputs: Purchased services,0.904494104
1996,Intermediate inputs: Other intermediate inputs,0.772602235
1996,Total factor productivity (TFP),0.83613369
1997,Total agricultural output,0.822025667
1997,Livestock and products output: Total,0.851231493
1997,Livestock and products output: Meat animals,0.955811983
1997,Livestock and products output: Dairy,0.745398389
1997,Livestock and products output: Poultry and eggs,0.754046223
1997,Crops output: Total,0.842741212
1997,Crops output: Food grains,1.122869692
1997,Crops output: Feed crops,0.792425667
1997,Crops output: Oil crops,0.693312004
1997,Crops output: Vegetables and melons,1.184747041
1997,Crops output: Fruits and nuts,0.880584261
1997,Crops output: Other crops,0.937457479
1997,Farm-related output,0.611999617
1997,Farm inputs: Total ,0.986828535
1997,Capital inputs: Total,0.997382901
1997,Capital inputs: Durable equipment,0.674228215
1997,Capital inputs: Service buildings,1.29287509
1997,Capital inputs: Land,1.076381803
1997,Capital inputs: Inventories,1.225122743
1997,Labor inputs: Total,1.21384675
1997,Labor inputs: Hired labor,1.140414932
1997,Labor inputs: Self-employed and unpaid family workers,1.257531482
1997,Intermediate inputs: Total,0.892708434
1997,Intermediate inputs: Feed and seed,0.836365973
1997,Intermediate inputs: Energy,1.720497765
1997,Intermediate inputs: Fertilizer and lime,0.741522004
1997,Intermediate inputs: Pesticides,0.494507234
1997,Intermediate inputs: Purchased services,0.946107202
1997,Intermediate inputs: Other intermediate inputs,0.899710908
1997,Total factor productivity (TFP),0.832997464
1998,Total agricultural output,0.827732587
1998,Livestock and products output: Total,0.856986474
1998,Livestock and products output: Meat animals,0.956959637
1998,Livestock and products output: Dairy,0.751402166
1998,Livestock and products output: Poultry and eggs,0.766978914
1998,Crops output: Total,0.831780913
1998,Crops output: Food grains,1.150296117
1998,Crops output: Feed crops,0.809527331
1998,Crops output: Oil crops,0.716201222
1998,Crops output: Vegetables and melons,1.169669437
1998,Crops output: Fruits and nuts,0.804466852
1998,Crops output: Other crops,0.86499242
1998,Farm-related output,0.715891697
1998,Farm inputs: Total ,1.005557522
1998,Capital inputs: Total,0.993410459
1998,Capital inputs: Durable equipment,0.672106399
1998,Capital inputs: Service buildings,1.265257831
1998,Capital inputs: Land,1.07532061
1998,Capital inputs: Inventories,1.229763442
1998,Labor inputs: Total,1.152738114
1998,Labor inputs: Hired labor,1.161385362
1998,Labor inputs: Self-employed and unpaid family workers,1.144298002
1998,Intermediate inputs: Total,0.944957938
1998,Intermediate inputs: Feed and seed,0.901960609
1998,Intermediate inputs: Energy,1.735796
1998,Intermediate inputs: Fertilizer and lime,0.915137313
1998,Intermediate inputs: Pesticides,0.501992276
1998,Intermediate inputs: Purchased services,0.972348336
1998,Intermediate inputs: Other intermediate inputs,0.824888821
1998,Total factor productivity (TFP),0.823157869
1999,Total agricultural output,0.846827548
1999,Livestock and products output: Total,0.878463162
1999,Livestock and products output: Meat animals,0.958589177
1999,Livestock and products output: Dairy,0.77763376
1999,Livestock and products output: Poultry and eggs,0.800941347
1999,Crops output: Total,0.84097228
1999,Crops output: Food grains,1.081198627
1999,Crops output: Feed crops,0.807817361
1999,Crops output: Oil crops,0.691300597
1999,Crops output: Vegetables and melons,1.276719514
1999,Crops output: Fruits and nuts,0.822220996
1999,Crops output: Other crops,0.899531439
1999,Farm-related output,0.783013775
1999,Farm inputs: Total ,1.008020571
1999,Capital inputs: Total,0.99010886
1999,Capital inputs: Durable equipment,0.675788883
1999,Capital inputs: Service buildings,1.240928353
1999,Capital inputs: Land,1.071187958
1999,Capital inputs: Inventories,1.21837404
1999,Labor inputs: Total,1.14059051
1999,Labor inputs: Hired labor,1.208259995
1999,Labor inputs: Self-employed and unpaid family workers,1.094586873
1999,Intermediate inputs: Total,0.954547879
1999,Intermediate inputs: Feed and seed,0.952448877
1999,Intermediate inputs: Energy,1.762126645
1999,Intermediate inputs: Fertilizer and lime,0.758431352
1999,Intermediate inputs: Pesticides,0.490498369
1999,Intermediate inputs: Purchased services,0.986236027
1999,Intermediate inputs: Other intermediate inputs,0.84401237
1999,Total factor productivity (TFP),0.84008955
2000,Total agricultural output,0.843463574
2000,Livestock and products output: Total,0.879400772
2000,Livestock and products output: Meat animals,0.930574949
2000,Livestock and products output: Dairy,0.800275615
2000,Livestock and products output: Poultry and eggs,0.817359176
2000,Crops output: Total,0.856728137
2000,Crops output: Food grains,1.039136635
2000,Crops output: Feed crops,0.819620011
2000,Crops output: Oil crops,0.710023384
2000,Crops output: Vegetables and melons,1.257980621
2000,Crops output: Fruits and nuts,0.895716013
2000,Crops output: Other crops,0.922424381
2000,Farm-related output,0.656323335
2000,Farm inputs: Total ,0.991223628
2000,Capital inputs: Total,0.987085836
2000,Capital inputs: Durable equipment,0.673733578
2000,Capital inputs: Service buildings,1.221024259
2000,Capital inputs: Land,1.064791453
2000,Capital inputs: Inventories,1.208743247
2000,Labor inputs: Total,1.093185356
2000,Labor inputs: Hired labor,1.014867903
2000,Labor inputs: Self-employed and unpaid family workers,1.138576063
2000,Intermediate inputs: Total,0.943985877
2000,Intermediate inputs: Feed and seed,0.929965339
2000,Intermediate inputs: Energy,1.682492962
2000,Intermediate inputs: Fertilizer and lime,0.93215632
2000,Intermediate inputs: Pesticides,0.508967627
2000,Intermediate inputs: Purchased services,0.93636249
2000,Intermediate inputs: Other intermediate inputs,0.822207146
2000,Total factor productivity (TFP),0.850931667
2001,Total agricultural output,0.848471953
2001,Livestock and products output: Total,0.885456636
2001,Livestock and products output: Meat animals,0.952431353
2001,Livestock and products output: Dairy,0.790817015
2001,Livestock and products output: Poultry and eggs,0.828430333
2001,Crops output: Total,0.853295733
2001,Crops output: Food grains,0.957327047
2001,Crops output: Feed crops,0.803948281
2001,Crops output: Oil crops,0.754747595
2001,Crops output: Vegetables and melons,1.200351543
2001,Crops output: Fruits and nuts,0.873363162
2001,Crops output: Other crops,0.952687274
2001,Farm-related output,0.704273103
2001,Farm inputs: Total ,0.971716195
2001,Capital inputs: Total,0.982834609
2001,Capital inputs: Durable equipment,0.672503902
2001,Capital inputs: Service buildings,1.206998282
2001,Capital inputs: Land,1.057048081
2001,Capital inputs: Inventories,1.221161557
2001,Labor inputs: Total,1.090798938
2001,Labor inputs: Hired labor,1.023458096
2001,Labor inputs: Self-employed and unpaid family workers,1.129463413
2001,Intermediate inputs: Total,0.912487999
2001,Intermediate inputs: Feed and seed,0.905898891
2001,Intermediate inputs: Energy,1.642459967
2001,Intermediate inputs: Fertilizer and lime,0.850423962
2001,Intermediate inputs: Pesticides,0.344017378
2001,Intermediate inputs: Purchased services,0.966763693
2001,Intermediate inputs: Other intermediate inputs,0.897935872
2001,Total factor productivity (TFP),0.87316848
2002,Total agricultural output,0.831956378
2002,Livestock and products output: Total,0.892613932
2002,Livestock and products output: Meat animals,0.927043587
2002,Livestock and products output: Dairy,0.81404672
2002,Livestock and products output: Poultry and eggs,0.865090455
2002,Crops output: Total,0.818150132
2002,Crops output: Food grains,0.821252142
2002,Crops output: Feed crops,0.758568651
2002,Crops output: Oil crops,0.706938398
2002,Crops output: Vegetables and melons,1.237868777
2002,Crops output: Fruits and nuts,0.87702466
2002,Crops output: Other crops,0.916623656
2002,Farm-related output,0.700007989
2002,Farm inputs: Total ,0.971619751
2002,Capital inputs: Total,1.008647034
2002,Capital inputs: Durable equipment,0.680826632
2002,Capital inputs: Service buildings,1.184159197
2002,Capital inputs: Land,1.04903558
2002,Capital inputs: Inventories,1.236109841
2002,Labor inputs: Total,1.101828723
2002,Labor inputs: Hired labor,1.037570426
2002,Labor inputs: Self-employed and unpaid family workers,1.138576008
2002,Intermediate inputs: Total,0.900167399
2002,Intermediate inputs: Feed and seed,0.890989985
2002,Intermediate inputs: Energy,1.786372005
2002,Intermediate inputs: Fertilizer and lime,0.837717486
2002,Intermediate inputs: Pesticides,0.370125161
2002,Intermediate inputs: Purchased services,0.921470765
2002,Intermediate inputs: Other intermediate inputs,0.848456486
2002,Total factor productivity (TFP),0.856257169
2003,Total agricultural output,0.856607124
2003,Livestock and products output: Total,0.908960946
2003,Livestock and products output: Meat animals,0.927095925
2003,Livestock and products output: Dairy,0.815386246
2003,Livestock and products output: Poultry and eggs,0.917351745
2003,Crops output: Total,0.851827698
2003,Crops output: Food grains,1.093981767
2003,Crops output: Feed crops,0.832043387
2003,Crops output: Oil crops,0.645571352
2003,Crops output: Vegetables and melons,1.21343327
2003,Crops output: Fruits and nuts,0.885465047
2003,Crops output: Other crops,0.939879424
2003,Farm-related output,0.704659062
2003,Farm inputs: Total ,0.95856875
2003,Capital inputs: Total,0.958895877
2003,Capital inputs: Durable equipment,0.689617396
2003,Capital inputs: Service buildings,1.165538654
2003,Capital inputs: Land,1.041727211
2003,Capital inputs: Inventories,1.196371561
2003,Labor inputs: Total,1.063643301
2003,Labor inputs: Hired labor,1.014867891
2003,Labor inputs: Self-employed and unpaid family workers,1.090987147
2003,Intermediate inputs: Total,0.909191943
2003,Intermediate inputs: Feed and seed,0.906726372
2003,Intermediate inputs: Energy,1.50150979
2003,Intermediate inputs: Fertilizer and lime,1.098671292
2003,Intermediate inputs: Pesticides,0.379974155
2003,Intermediate inputs: Purchased services,0.914083226
2003,Intermediate inputs: Other intermediate inputs,0.778087751
2003,Total factor productivity (TFP),0.89363139
2004,Total agricultural output,0.895779886
2004,Livestock and products output: Total,0.89421682
2004,Livestock and products output: Meat animals,0.935015402
2004,Livestock and products output: Dairy,0.817766556
2004,Livestock and products output: Poultry and eggs,0.873338886
2004,Crops output: Total,0.932529197
2004,Crops output: Food grains,1.055899344
2004,Crops output: Feed crops,0.917240191
2004,Crops output: Oil crops,0.800847495
2004,Crops output: Vegetables and melons,1.261170995
2004,Crops output: Fruits and nuts,0.911400196
2004,Crops output: Other crops,1.034779711
2004,Farm-related output,0.728894058
2004,Farm inputs: Total ,0.946947735
2004,Capital inputs: Total,0.959556988
2004,Capital inputs: Durable equipment,0.707903669
2004,Capital inputs: Service buildings,1.146030632
2004,Capital inputs: Land,1.034917402
2004,Capital inputs: Inventories,1.165909347
2004,Labor inputs: Total,1.023033511
2004,Labor inputs: Hired labor,0.91976238
2004,Labor inputs: Self-employed and unpaid family workers,1.083897925
2004,Intermediate inputs: Total,0.904263901
2004,Intermediate inputs: Feed and seed,0.910041079
2004,Intermediate inputs: Energy,1.611145648
2004,Intermediate inputs: Fertilizer and lime,0.971787788
2004,Intermediate inputs: Pesticides,0.415069538
2004,Intermediate inputs: Purchased services,0.903764172
2004,Intermediate inputs: Other intermediate inputs,0.665861312
2004,Total factor productivity (TFP),0.945965499
2005,Total agricultural output,0.884150462
2005,Livestock and products output: Total,0.916321058
2005,Livestock and products output: Meat animals,0.932309797
2005,Livestock and products output: Dairy,0.847255416
2005,Livestock and products output: Poultry and eggs,0.897992812
2005,Crops output: Total,0.896924217
2005,Crops output: Food grains,1.026073036
2005,Crops output: Feed crops,0.864123232
2005,Crops output: Oil crops,0.805333228
2005,Crops output: Vegetables and melons,1.220476748
2005,Crops output: Fruits and nuts,0.829957452
2005,Crops output: Other crops,1.019216759
2005,Farm-related output,0.70490143
2005,Farm inputs: Total ,0.956566393
2005,Capital inputs: Total,0.96944507
2005,Capital inputs: Durable equipment,0.738435833
2005,Capital inputs: Service buildings,1.12956885
2005,Capital inputs: Land,1.027171093
2005,Capital inputs: Inventories,1.262272564
2005,Labor inputs: Total,1.038188
2005,Labor inputs: Hired labor,0.930522127
2005,Labor inputs: Self-employed and unpaid family workers,1.101697577
2005,Intermediate inputs: Total,0.911108059
2005,Intermediate inputs: Feed and seed,0.937011612
2005,Intermediate inputs: Energy,1.491517255
2005,Intermediate inputs: Fertilizer and lime,0.793288962
2005,Intermediate inputs: Pesticides,0.429425937
2005,Intermediate inputs: Purchased services,0.939983632
2005,Intermediate inputs: Other intermediate inputs,0.815110958
2005,Total factor productivity (TFP),0.924295969
2006,Total agricultural output,0.874458113
2006,Livestock and products output: Total,0.935537327
2006,Livestock and products output: Meat animals,0.940269366
2006,Livestock and products output: Dairy,0.870692314
2006,Livestock and products output: Poultry and eggs,0.928540551
2006,Crops output: Total,0.851304133
2006,Crops output: Food grains,0.885055958
2006,Crops output: Feed crops,0.811107016
2006,Crops output: Oil crops,0.809704015
2006,Crops output: Vegetables and melons,1.207514587
2006,Crops output: Fruits and nuts,0.904965871
2006,Crops output: Other crops,0.875123086
2006,Farm-related output,0.778436608
2006,Farm inputs: Total ,0.960586036
2006,Capital inputs: Total,0.974750466
2006,Capital inputs: Durable equipment,0.756802564
2006,Capital inputs: Service buildings,1.110795729
2006,Capital inputs: Land,1.020402308
2006,Capital inputs: Inventories,1.25884539
2006,Labor inputs: Total,0.965430292
2006,Labor inputs: Hired labor,0.852001084
2006,Labor inputs: Self-employed and unpaid family workers,1.032505752
2006,Intermediate inputs: Total,0.946215794
2006,Intermediate inputs: Feed and seed,0.942443901
2006,Intermediate inputs: Energy,1.436241589
2006,Intermediate inputs: Fertilizer and lime,0.980535498
2006,Intermediate inputs: Pesticides,0.456834197
2006,Intermediate inputs: Purchased services,0.987670797
2006,Intermediate inputs: Other intermediate inputs,0.827057645
2006,Total factor productivity (TFP),0.910338148
2007,Total agricultural output,0.898401849
2007,Livestock and products output: Total,0.920218633
2007,Livestock and products output: Meat animals,0.907140642
2007,Livestock and products output: Dairy,0.889315589
2007,Livestock and products output: Poultry and eggs,0.941263767
2007,Crops output: Total,0.913928308
2007,Crops output: Food grains,0.986335949
2007,Crops output: Feed crops,0.950121212
2007,Crops output: Oil crops,0.691380818
2007,Crops output: Vegetables and melons,1.206726553
2007,Crops output: Fruits and nuts,0.971898685
2007,Crops output: Other crops,0.986198438
2007,Farm-related output,0.733537925
2007,Farm inputs: Total ,0.99674128
2007,Capital inputs: Total,0.966303301
2007,Capital inputs: Durable equipment,0.756789653
2007,Capital inputs: Service buildings,1.090287713
2007,Capital inputs: Land,1.013349874
2007,Capital inputs: Inventories,1.226776113
2007,Labor inputs: Total,0.986054865
2007,Labor inputs: Hired labor,0.931652814
2007,Labor inputs: Self-employed and unpaid family workers,1.017662643
2007,Intermediate inputs: Total,1.002230314
2007,Intermediate inputs: Feed and seed,0.960614221
2007,Intermediate inputs: Energy,1.648718018
2007,Intermediate inputs: Fertilizer and lime,0.833949843
2007,Intermediate inputs: Pesticides,0.571527162
2007,Intermediate inputs: Purchased services,1.107859579
2007,Intermediate inputs: Other intermediate inputs,0.878535274
2007,Total factor productivity (TFP),0.901339061
2008,Total agricultural output,0.931742365
2008,Livestock and products output: Total,0.938442502
2008,Livestock and products output: Meat animals,0.952136323
2008,Livestock and products output: Dairy,0.910256534
2008,Livestock and products output: Poultry and eggs,0.95917289
2008,Crops output: Total,0.946286451
2008,Crops output: Food grains,1.17918005
2008,Crops output: Feed crops,0.904493069
2008,Crops output: Oil crops,0.758348296
2008,Crops output: Vegetables and melons,1.001067963
2008,Crops output: Fruits and nuts,0.93164984
2008,Crops output: Other crops,1.270781068
2008,Farm-related output,0.833959244
2008,Farm inputs: Total ,0.980574361
2008,Capital inputs: Total,0.966602475
2008,Capital inputs: Durable equipment,0.767268595
2008,Capital inputs: Service buildings,1.071988379
2008,Capital inputs: Land,1.008341391
2008,Capital inputs: Inventories,1.233923598
2008,Labor inputs: Total,0.967152697
2008,Labor inputs: Hired labor,0.897744298
2008,Labor inputs: Self-employed and unpaid family workers,1.007768965
2008,Intermediate inputs: Total,0.981586615
2008,Intermediate inputs: Feed and seed,0.949809348
2008,Intermediate inputs: Energy,1.499624483
2008,Intermediate inputs: Fertilizer and lime,0.942498708
2008,Intermediate inputs: Pesticides,0.55122435
2008,Intermediate inputs: Purchased services,1.042291037
2008,Intermediate inputs: Other intermediate inputs,0.895160091
2008,Total factor productivity (TFP),0.950200619
2009,Total agricultural output,0.941766092
2009,Livestock and products output: Total,0.925174138
2009,Livestock and products output: Meat animals,0.946340267
2009,Livestock and products output: Dairy,0.906777619
2009,Livestock and products output: Poultry and eggs,0.909621754
2009,Crops output: Total,0.969128805
2009,Crops output: Food grains,1.074837976
2009,Crops output: Feed crops,0.950178532
2009,Crops output: Oil crops,0.849361313
2009,Crops output: Vegetables and melons,0.996270703
2009,Crops output: Fruits and nuts,0.955317308
2009,Crops output: Other crops,1.210170265
2009,Farm-related output,0.846524159
2009,Farm inputs: Total ,0.973800804
2009,Capital inputs: Total,0.975253909
2009,Capital inputs: Durable equipment,0.794988313
2009,Capital inputs: Service buildings,1.060734534
2009,Capital inputs: Land,1.005770885
2009,Capital inputs: Inventories,1.226243477
2009,Labor inputs: Total,0.941251511
2009,Labor inputs: Hired labor,0.873403816
2009,Labor inputs: Self-employed and unpaid family workers,0.98095679
2009,Intermediate inputs: Total,0.977231269
2009,Intermediate inputs: Feed and seed,0.940939094
2009,Intermediate inputs: Energy,1.933069251
2009,Intermediate inputs: Fertilizer and lime,0.922885843
2009,Intermediate inputs: Pesticides,0.503901333
2009,Intermediate inputs: Purchased services,0.983352831
2009,Intermediate inputs: Other intermediate inputs,0.849871637
2009,Total factor productivity (TFP),0.967103423
2010,Total agricultural output,0.928987677
2010,Livestock and products output: Total,0.934628004
2010,Livestock and products output: Meat animals,0.944734236
2010,Livestock and products output: Dairy,0.924644399
2010,Livestock and products output: Poultry and eggs,0.925771788
2010,Crops output: Total,0.962653853
2010,Crops output: Food grains,1.083536361
2010,Crops output: Feed crops,0.908948714
2010,Crops output: Oil crops,0.846063672
2010,Crops output: Vegetables and melons,0.99406655
2010,Crops output: Fruits and nuts,0.96534889
2010,Crops output: Other crops,1.266546445
2010,Farm-related output,0.717126088
2010,Farm inputs: Total ,0.943606005
2010,Capital inputs: Total,0.968112547
2010,Capital inputs: Durable equipment,0.795507635
2010,Capital inputs: Service buildings,1.045952382
2010,Capital inputs: Land,1.004782553
2010,Capital inputs: Inventories,1.164958229
2010,Labor inputs: Total,0.937403461
2010,Labor inputs: Hired labor,0.939030733
2010,Labor inputs: Self-employed and unpaid family workers,0.936380876
2010,Intermediate inputs: Total,0.931248373
2010,Intermediate inputs: Feed and seed,0.950106419
2010,Intermediate inputs: Energy,1.57193593
2010,Intermediate inputs: Fertilizer and lime,0.758079337
2010,Intermediate inputs: Pesticides,0.492660985
2010,Intermediate inputs: Purchased services,0.946561125
2010,Intermediate inputs: Other intermediate inputs,0.817089143
2010,Total factor productivity (TFP),0.984508018
2011,Total agricultural output,0.931813326
2011,Livestock and products output: Total,0.948875064
2011,Livestock and products output: Meat animals,0.973388774
2011,Livestock and products output: Dairy,0.94099337
2011,Livestock and products output: Poultry and eggs,0.945795374
2011,Crops output: Total,0.92413537
2011,Crops output: Food grains,0.963412459
2011,Crops output: Feed crops,0.874438474
2011,Crops output: Oil crops,0.788538419
2011,Crops output: Vegetables and melons,0.972838221
2011,Crops output: Fruits and nuts,1.004001263
2011,Crops output: Other crops,1.197437335
2011,Farm-related output,0.938643893
2011,Farm inputs: Total ,0.948292519
2011,Capital inputs: Total,0.963942354
2011,Capital inputs: Durable equipment,0.803578671
2011,Capital inputs: Service buildings,1.027230552
2011,Capital inputs: Land,1.004449368
2011,Capital inputs: Inventories,1.056052185
2011,Labor inputs: Total,0.939011113
2011,Labor inputs: Hired labor,0.924134675
2011,Labor inputs: Self-employed and unpaid family workers,0.947634755
2011,Intermediate inputs: Total,0.941028918
2011,Intermediate inputs: Feed and seed,0.910776999
2011,Intermediate inputs: Energy,1.478423465
2011,Intermediate inputs: Fertilizer and lime,0.785001385
2011,Intermediate inputs: Pesticides,0.738741528
2011,Intermediate inputs: Purchased services,0.987148538
2011,Intermediate inputs: Other intermediate inputs,0.79367493
2011,Total factor productivity (TFP),0.982622246
2012,Total agricultural output,0.930828297
2012,Livestock and products output: Total,0.956579377
2012,Livestock and products output: Meat animals,0.967922456
2012,Livestock and products output: Dairy,0.962180056
2012,Livestock and products output: Poultry and eggs,0.947119079
2012,Crops output: Total,0.886737454
2012,Crops output: Food grains,1.081392101
